Version5;
PCI\VEN_1002&DEV_7187&SUBSYS_30001458	Legacy\6x64\10.2\	CH_95951.inf	ATI.Mfg.NTamd64.6.0	1	02/10/2010,8.593.100.0000	GIGABYTE Radeon X1550 Series 
PCI\VEN_1002&DEV_7187&SUBSYS_30001458	Legacy\5x64\10.2\	CA_95952.inf	ATI.Mfg.NTamd64	1	02/10/2010,8.593.100.0000	GIGABYTE Radeon X1550 Series 
PCI\VEN_1002&DEV_7187&SUBSYS_30001458	Legacy\5x86\10.2\	CX_95952.inf	ATI.Mfg.NTx86	1	02/10/2010,8.593.100.0000	GIGABYTE Radeon X1550 Series 
PCI\VEN_1002&DEV_7187&SUBSYS_30001458	Legacy\5x86\9.2\	CX_75974.inf	ATI.Mfg.NTx86	1	02/03/2009,8.582.0.0000	GIGABYTE Radeon X1550 Series 
PCI\VEN_1002&DEV_7187&SUBSYS_30001458	Legacy\6x86\10.2\	CL_95951.inf	ATI.Mfg.NTx86.6.0	1	02/10/2010,8.593.100.0000	GIGABYTE Radeon X1550 Series 
PCI\VEN_1002&DEV_9714	Legacy\7x64\12.1\	C7132226.inf	ATI.Mfg.NTamd64.6.1	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\6x86\12.1\	CL132226.inf	ATI.Mfg.NTx86.6.0	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\5x86\12.1\	CX132228.inf	ATI.Mfg.NTx86	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\5x64\11.11\	CA129471.inf	ATI.Mfg.NTamd64	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\5x64\13.1\	CA151985.inf	ATI.Mfg.NTamd64	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\6x64\11.11\	CH129470.inf	ATI.Mfg.NTamd64.6.0	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\5x86\13.1\	CX151985.inf	ATI.Mfg.NTx86	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\7x64\13.1\	C7151639.inf	ATI.Mfg.NTamd64.6.1	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\8x64\13.1\	C8151639.inf	ATI.Mfg.NTamd64.6.2	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\6x86\13.1\	CL151639.inf	ATI.Mfg.NTx86.6.0	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\7x86\11.11\	CW129470.inf	ATI.Mfg.NTx86.6.1	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\8x86\13.1\	CE151639.inf	ATI.Mfg.NTx86.6.2	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\7x86\12.1\	CW132226.inf	ATI.Mfg.NTx86.6.1	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\5x86\11.11\	CX129471.inf	ATI.Mfg.NTx86	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\6x64\13.1\	CH151639.inf	ATI.Mfg.NTamd64.6.0	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\6x64\12.1\	CH132226.inf	ATI.Mfg.NTamd64.6.0	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\7x86\13.1\	CW151639.inf	ATI.Mfg.NTx86.6.1	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\6x86\11.11\	CL129470.inf	ATI.Mfg.NTx86.6.0	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\5x64\12.1\	CA132228.inf	ATI.Mfg.NTamd64	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9714	Legacy\7x64\11.11\	C7129470.inf	ATI.Mfg.NTamd64.6.1	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4290
PCI\VEN_1002&DEV_9715	Legacy\5x64\13.1\	CA151985.inf	ATI.Mfg.NTamd64	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\7x86\11.11\	CW129470.inf	ATI.Mfg.NTx86.6.1	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\6x64\12.1\	CH132226.inf	ATI.Mfg.NTamd64.6.0	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\5x64\11.11\	CA129471.inf	ATI.Mfg.NTamd64	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\6x86\11.11\	CL129470.inf	ATI.Mfg.NTx86.6.0	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\5x86\12.1\	CX132228.inf	ATI.Mfg.NTx86	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\7x86\12.1\	CW132226.inf	ATI.Mfg.NTx86.6.1	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\5x86\13.1\	CX151985.inf	ATI.Mfg.NTx86	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\7x64\13.1\	C7151639.inf	ATI.Mfg.NTamd64.6.1	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\7x86\13.1\	CW151639.inf	ATI.Mfg.NTx86.6.1	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\5x64\12.1\	CA132228.inf	ATI.Mfg.NTamd64	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\8x86\13.1\	CE151639.inf	ATI.Mfg.NTx86.6.2	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\6x64\11.11\	CH129470.inf	ATI.Mfg.NTamd64.6.0	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\6x86\12.1\	CL132226.inf	ATI.Mfg.NTx86.6.0	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\7x64\12.1\	C7132226.inf	ATI.Mfg.NTamd64.6.1	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\7x64\11.11\	C7129470.inf	ATI.Mfg.NTamd64.6.1	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\5x86\11.11\	CX129471.inf	ATI.Mfg.NTx86	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\6x64\13.1\	CH151639.inf	ATI.Mfg.NTamd64.6.0	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\6x86\13.1\	CL151639.inf	ATI.Mfg.NTx86.6.0	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_9715	Legacy\8x64\13.1\	C8151639.inf	ATI.Mfg.NTamd64.6.2	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4250
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\8x86\13.1\	CE151639.inf	ATI.Mfg.NTx86.6.2	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\7x64\12.1\	C7132226.inf	ATI.Mfg.NTamd64.6.1	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\8x64\13.1\	C8151639.inf	ATI.Mfg.NTamd64.6.2	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\7x86\12.1\	CW132226.inf	ATI.Mfg.NTx86.6.1	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\5x86\13.1\	CX151985.inf	ATI.Mfg.NTx86	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\6x86\11.11\	CL129470.inf	ATI.Mfg.NTx86.6.0	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\7x64\11.11\	C7129470.inf	ATI.Mfg.NTamd64.6.1	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_9712	Legacy\6x86\11.11\	CL129470.inf	ATI.Mfg.NTx86.6.0	1	11/30/2011,8.911.1.0000	ATI Mobility Radeon HD 4200 Series
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\6x86\12.1\	CL132226.inf	ATI.Mfg.NTx86.6.0	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_9712	Legacy\8x86\13.1\	CE151639.inf	ATI.Mfg.NTx86.6.2	1	11/16/2012,8.970.100.7000	ATI Mobility Radeon HD 4200 Series
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\5x64\11.11\	CA129471.inf	ATI.Mfg.NTamd64	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_9712	Legacy\6x86\13.1\	CL151639.inf	ATI.Mfg.NTx86.6.0	1	11/16/2012,8.970.100.7000	ATI Mobility Radeon HD 4200 Series
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\6x64\12.1\	CH132226.inf	ATI.Mfg.NTamd64.6.0	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\5x64\12.1\	CA132228.inf	ATI.Mfg.NTamd64	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_9712	Legacy\5x64\13.1\	CA151985.inf	ATI.Mfg.NTamd64	1	11/16/2012,8.970.100.7000	ATI Mobility Radeon HD 4200 Series
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\5x86\11.11\	CX129471.inf	ATI.Mfg.NTx86	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\6x64\11.11\	CH129470.inf	ATI.Mfg.NTamd64.6.0	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\6x64\13.1\	CH151639.inf	ATI.Mfg.NTamd64.6.0	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_9712	Legacy\7x64\11.11\	C7129470.inf	ATI.Mfg.NTamd64.6.1	1	11/30/2011,8.911.1.0000	ATI Mobility Radeon HD 4200 Series
PCI\VEN_1002&DEV_9712	Legacy\7x64\13.1\	C7151639.inf	ATI.Mfg.NTamd64.6.1	1	11/16/2012,8.970.100.7000	ATI Mobility Radeon HD 4200 Series
PCI\VEN_1002&DEV_9712	Legacy\7x86\11.11\	CW129470.inf	ATI.Mfg.NTx86.6.1	1	11/30/2011,8.911.1.0000	ATI Mobility Radeon HD 4200 Series
PCI\VEN_1002&DEV_9712	Legacy\6x64\13.1\	CH151639.inf	ATI.Mfg.NTamd64.6.0	1	11/16/2012,8.970.100.7000	ATI Mobility Radeon HD 4200 Series
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\7x64\13.1\	C7151639.inf	ATI.Mfg.NTamd64.6.1	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_9712	Legacy\8x64\13.1\	C8151639.inf	ATI.Mfg.NTamd64.6.2	1	11/16/2012,8.970.100.7000	ATI Mobility Radeon HD 4200 Series
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\7x86\13.1\	CW151639.inf	ATI.Mfg.NTx86.6.1	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_9712	Legacy\5x86\13.1\	CX151985.inf	ATI.Mfg.NTx86	1	11/16/2012,8.970.100.7000	ATI Mobility Radeon HD 4200 Series
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\7x86\11.11\	CW129470.inf	ATI.Mfg.NTx86.6.1	1	11/30/2011,8.911.1.0000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_9712	Legacy\7x86\13.1\	CW151639.inf	ATI.Mfg.NTx86.6.1	1	11/16/2012,8.970.100.7000	ATI Mobility Radeon HD 4200 Series
PCI\VEN_1002&DEV_9712	Legacy\6x64\11.11\	CH129470.inf	ATI.Mfg.NTamd64.6.0	1	11/30/2011,8.911.1.0000	ATI Mobility Radeon HD 4200 Series
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\5x64\13.1\	CA151985.inf	ATI.Mfg.NTamd64	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_9712	Legacy\5x86\11.11\	CX129471.inf	ATI.Mfg.NTx86	1	11/30/2011,8.911.1.0000	ATI Mobility Radeon HD 4200 Series
PCI\VEN_1002&DEV_9712	Legacy\5x64\11.11\	CA129471.inf	ATI.Mfg.NTamd64	1	11/30/2011,8.911.1.0000	ATI Mobility Radeon HD 4200 Series
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\6x86\13.1\	CL151639.inf	ATI.Mfg.NTx86.6.0	1	11/16/2012,8.970.100.7000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_954F&SUBSYS_301017AF	Legacy\5x86\12.1\	CX132228.inf	ATI.Mfg.NTx86	1	12/05/2011,8.930.0.0000	ATI Radeon HD 4450
PCI\VEN_1002&DEV_9713	Legacy\5x86\11.11\	CX129471.inf	ATI.Mfg.NTx86	1	11/30/2011,8.911.1.0000	ATI Mobility Radeon 4100
PCI\VEN_1002&DEV_9713	Legacy\7x86\13.1\	CW151639.inf	ATI.Mfg.NTx86.6.1	1	11/16/2012,8.970.100.7000	ATI Mobility Radeon 4100
PCI\VEN_1002&DEV_9713	Legacy\5x86\13.1\	CX151985.inf	ATI.Mfg.NTx86	1	11/16/2012,8.970.100.7000	ATI Mobility Radeon 4100
PCI\VEN_1002&DEV_9713	Legacy\6x64\13.1\	CH151639.inf	ATI.Mfg.NTamd64.6.0	1	11/16/2012,8.970.100.7000	ATI Mobility Radeon 4100
